Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,k,nut,omega,p,vtkValidPointMask
334,-8.270000e-01,4.338000e-01,6.509000e-01,1.138324e+00,1.329314e+02,2.941971e+01,8.208470e+00,1.363952e+02,3.213394e+00,5.327418e+02,2.090310e-01,2.075808e+03,3.400125e+02,1
335,-8.175000e-01,4.345000e-01,6.522500e-01,1.132487e+00,1.338507e+02,2.946092e+01,1.237059e+01,1.376117e+02,3.223015e+00,5.196545e+02,1.929453e-01,2.086161e+03,3.153645e+02,1
336,-8.080000e-01,4.352000e-01,6.536000e-01,1.126701e+00,1.346280e+02,2.962058e+01,1.655662e+01,1.388387e+02,3.232636e+00,5.044011e+02,1.778960e-01,2.098193e+03,3.014368e+02,1
337,-7.985000e-01,4.359000e-01,6.549500e-01,1.120969e+00,1.350913e+02,2.947749e+01,1.973247e+01,1.396709e+02,3.242257e+00,4.931812e+02,1.689861e-01,2.093458e+03,2.739962e+02,1
338,-7.890000e-01,4.366000e-01,6.563000e-01,1.115289e+00,1.353215e+02,2.938036e+01,2.279653e+01,1.403381e+02,3.251878e+00,4.817318e+02,1.596179e-01,2.090268e+03,2.502969e+02,1
339,-7.795000e-01,4.373000e-01,6.576500e-01,1.109664e+00,1.363156e+02,2.913455e+01,2.654647e+01,1.418995e+02,3.261499e+00,4.652521e+02,1.489628e-01,2.078955e+03,2.211121e+02,1
340,-7.700000e-01,4.380000e-01,6.590000e-01,1.104095e+00,1.378205e+02,2.918832e+01,3.370417e+01,1.448531e+02,3.271120e+00,4.285576e+02,1.285634e-01,2.091072e+03,2.793790e+02,1
341,-7.605000e-01,4.387000e-01,6.603500e-01,1.098581e+00,1.387280e+02,2.902707e+01,3.992037e+01,1.472470e+02,3.280741e+00,3.988456e+02,1.124709e-01,2.117872e+03,3.002742e+02,1
342,-7.510000e-01,4.394000e-01,6.617000e-01,1.093124e+00,1.386591e+02,2.848636e+01,4.434758e+01,1.483393e+02,3.290362e+00,3.824145e+02,1.033162e-01,2.169378e+03,2.517619e+02,1
343,-7.415000e-01,4.401000e-01,6.630500e-01,1.087725e+00,1.402791e+02,2.778477e+01,5.169577e+01,1.520614e+02,3.299983e+00,3.492940e+02,8.644080e-02,2.246528e+03,2.133701e+02,1
344,-7.320000e-01,4.408000e-01,6.644000e-01,1.082384e+00,1.406549e+02,2.703661e+01,6.020611e+01,1.553691e+02,3.309604e+00,3.096219e+02,6.873202e-02,2.413414e+03,1.519848e+02,1
345,-7.225000e-01,4.415000e-01,6.657500e-01,1.077103e+00,1.383556e+02,2.573756e+01,6.488601e+01,1.549674e+02,3.319225e+00,2.931826e+02,6.316426e-02,2.637602e+03,-5.914711e+01,1
346,-7.130000e-01,4.422000e-01,6.671000e-01,1.071883e+00,1.378834e+02,2.370307e+01,7.256747e+01,1.576062e+02,3.328846e+00,2.568545e+02,4.994092e-02,2.811702e+03,-3.530009e+02,1
347,-7.035000e-01,4.429000e-01,6.684500e-01,1.066723e+00,1.360215e+02,2.073929e+01,8.257311e+01,1.604690e+02,3.338466e+00,2.099174e+02,3.424939e-02,3.111350e+03,-8.452134e+02,1
348,-6.940000e-01,4.436000e-01,6.698000e-01,1.061626e+00,1.313833e+02,1.797242e+01,9.262273e+01,1.617515e+02,3.348087e+00,1.710021e+02,2.385988e-02,3.620875e+03,-1.771791e+03,1
349,-6.845000e-01,4.443000e-01,6.711500e-01,1.056591e+00,1.250627e+02,1.525869e+01,1.028482e+02,1.626384e+02,3.357708e+00,1.346565e+02,1.589561e-02,4.240059e+03,-2.950903e+03,1
350,-6.750000e-01,4.450000e-01,6.725000e-01,1.051621e+00,9.514783e+01,1.045635e+01,7.695728e+01,1.228205e+02,3.367329e+00,1.222476e+02,1.315845e-02,4.554633e+03,-4.222955e+03,1
351,-6.655000e-01,4.457000e-01,6.738500e-01,1.046715e+00,7.655006e+01,7.012999e+00,6.323218e+01,9.953593e+01,3.376950e+00,1.069639e+02,9.969624e-03,4.871923e+03,-5.347622e+03,1
352,-6.560000e-01,4.464000e-01,6.752000e-01,1.041875e+00,5.704192e+01,8.154753e-01,4.097736e+01,7.023952e+01,3.386571e+00,1.048090e+02,9.155300e-03,4.908678e+03,-6.760567e+03,1
353,-6.465000e-01,4.471000e-01,6.765500e-01,1.037102e+00,4.480788e+01,-2.543423e+00,2.865842e+01,5.324960e+01,3.396192e+00,9.522124e+01,7.325442e-03,4.817227e+03,-8.411896e+03,1
354,-6.370000e-01,4.478000e-01,6.779000e-01,1.032396e+00,3.600095e+01,-2.540471e+00,2.185153e+01,4.219019e+01,3.405813e+00,8.618642e+01,5.643106e-03,4.627249e+03,-9.636161e+03,1
355,-6.275000e-01,4.485000e-01,6.792500e-01,1.027759e+00,2.985626e+01,-1.812602e+00,1.705214e+01,3.443047e+01,3.415434e+00,7.836481e+01,4.557761e-03,4.563325e+03,-9.782358e+03,1
356,-6.180000e-01,4.492000e-01,6.806000e-01,1.023192e+00,3.297431e+01,3.470301e-01,1.625629e+01,3.676537e+01,3.425055e+00,6.466063e+01,3.826444e-03,4.451727e+03,-8.811920e+03,1
357,-6.085000e-01,4.499000e-01,6.819500e-01,1.018694e+00,4.136279e+01,3.955095e+00,1.769245e+01,4.516133e+01,3.434676e+00,5.553285e+01,3.478387e-03,4.333432e+03,-8.154043e+03,1
358,-5.990000e-01,4.506000e-01,6.833000e-01,1.014268e+00,4.972534e+01,9.034677e+00,1.854490e+01,5.383445e+01,3.444297e+00,4.997401e+01,3.102643e-03,4.260061e+03,-7.934659e+03,1
359,-5.895000e-01,4.513000e-01,6.846500e-01,1.009915e+00,5.868559e+01,1.703254e+01,1.819712e+01,6.375925e+01,3.453918e+00,4.482550e+01,2.694987e-03,4.261125e+03,-7.830050e+03,1
360,-5.800000e-01,4.520000e-01,6.860000e-01,1.005634e+00,6.790638e+01,2.863151e+01,1.606182e+01,7.542561e+01,3.463539e+00,3.969449e+01,2.126434e-03,4.314723e+03,-7.801538e+03,1
361,-5.705000e-01,4.527000e-01,6.873500e-01,1.001428e+00,8.289742e+01,4.850422e+01,1.432233e+01,9.710701e+01,3.473160e+00,3.636342e+01,2.073390e-03,5.015068e+03,-7.835637e+03,1
362,-5.610000e-01,4.534000e-01,6.887000e-01,9.972965e-01,8.793040e+01,5.678576e+01,1.178179e+01,1.053337e+02,3.482780e+00,3.432951e+01,2.252354e-03,5.286270e+03,-7.852282e+03,1
363,-5.515000e-01,4.541000e-01,6.900500e-01,9.932412e-01,7.045171e+01,3.105548e+01,1.128739e+01,7.781575e+01,3.492401e+00,3.444903e+01,2.685652e-03,4.721261e+03,-7.752131e+03,1
364,-5.420000e-01,4.548000e-01,6.914000e-01,9.892629e-01,7.272971e+01,3.354629e+01,9.744916e+00,8.068413e+01,3.502023e+00,3.308020e+01,2.661509e-03,4.059622e+03,-7.620175e+03,1
365,-5.325000e-01,4.555000e-01,6.927500e-01,9.853624e-01,8.484023e+01,4.740553e+01,9.010375e+00,9.760295e+01,3.511643e+00,3.169222e+01,2.708944e-03,3.339193e+03,-7.390696e+03,1
366,-5.230000e-01,4.562000e-01,6.941000e-01,9.815408e-01,9.564281e+01,5.951564e+01,8.401137e+00,1.129612e+02,3.521264e+00,3.008674e+01,2.797616e-03,3.381212e+03,-7.281813e+03,1
367,-5.135000e-01,4.569000e-01,6.954500e-01,9.777988e-01,1.015062e+02,6.555447e+01,7.634480e+00,1.210751e+02,3.530885e+00,2.914709e+01,3.119543e-03,3.465655e+03,-7.164864e+03,1
368,-5.040000e-01,4.576000e-01,6.968000e-01,9.741375e-01,1.026718e+02,6.496609e+01,6.888636e+00,1.216944e+02,3.540506e+00,2.901905e+01,3.630032e-03,3.485116e+03,-7.003275e+03,1
369,-4.945000e-01,4.583000e-01,6.981500e-01,9.705579e-01,1.039924e+02,6.412801e+01,5.750642e+00,1.223106e+02,3.550127e+00,2.895890e+01,4.124992e-03,3.489867e+03,-6.825091e+03,1
370,-4.850000e-01,4.590000e-01,6.995000e-01,9.670606e-01,1.051693e+02,6.349693e+01,4.005733e+00,1.229166e+02,3.559748e+00,2.850873e+01,4.482777e-03,3.489843e+03,-6.638690e+03,1
371,-4.755000e-01,4.597000e-01,7.008500e-01,9.636468e-01,1.071427e+02,6.157663e+01,2.464847e+00,1.236014e+02,3.569369e+00,2.878336e+01,5.091519e-03,3.457052e+03,-6.428772e+03,1
372,-4.660000e-01,4.604000e-01,7.022000e-01,9.603171e-01,1.092162e+02,5.949958e+01,7.531204e-01,1.243743e+02,3.578990e+00,2.908712e+01,5.755553e-03,3.414709e+03,-6.211598e+03,1
